,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
155,717.021121,0.1577,0.1473,1.181,107.381,2.209,2.178,1.211,1.232,1.427,1.456,0.973,0.995,0.973,0.939,0.939,83.17749,0.0005
156,711.713135,0.16153,0.14708,1.169,104.259,2.209,2.18,1.216,1.242,1.428,1.468,0.973,0.995,0.972,0.939,0.938,83.06076,0.0005
157,718.229913,0.16644,0.14909,1.184,110.211,2.216,2.186,1.21,1.255,1.429,1.461,0.973,0.995,0.972,0.939,0.938,83.74411,0.0005
158,723.263023,0.17106,0.14934,1.195,112.678,2.24,2.25,1.211,1.225,1.466,1.527,0.972,0.994,0.973,0.936,0.933,81.92063,0.0005
159,721.33116,0.17638,0.1463,1.159,105.548,2.205,2.184,1.202,1.201,1.427,1.464,0.974,0.995,0.974,0.939,0.938,84.70407,0.0005
160,721.503009,0.18313,0.15256,1.181,120.431,2.253,2.259,1.21,1.227,1.465,1.525,0.973,0.994,0.973,0.936,0.933,83.54692,0.0005
161,755.136385,0.18954,0.14663,1.168,107.124,2.205,2.177,1.203,1.203,1.436,1.461,0.974,0.995,0.974,0.939,0.938,88.33085,0.0005
162,722.902098,0.19353,0.14761,1.17,109.144,2.207,2.175,1.213,1.217,1.427,1.459,0.973,0.995,0.974,0.94,0.939,82.72035,0.0005
163,730.760757,0.19869,0.14632,1.153,107.009,2.195,2.168,1.191,1.218,1.419,1.456,0.974,0.995,0.974,0.94,0.939,82.05654,0.0005
164,720.881504,0.20454,0.15011,1.184,113.888,2.24,2.254,1.216,1.223,1.465,1.546,0.973,0.994,0.973,0.936,0.932,81.29355,0.0005
165,723.499795,0.21197,0.14716,1.157,111.859,2.205,2.178,1.194,1.202,1.424,1.457,0.974,0.994,0.974,0.94,0.939,83.12623,0.0005
